Beer,url
Best Bitter,https://www.beeradvocate.com//beer/profile/816/2530/
Arbor Brewing Huxell Best Bitter,https://www.beeradvocate.com//beer/profile/1457/5131/
Victory Bitter,https://www.beeradvocate.com//beer/profile/1542/8253/
Somers Amber Ale,https://www.beeradvocate.com//beer/profile/11039/4471/
Triple B,https://www.beeradvocate.com//beer/profile/16419/56734/
Edinburgh Gold,https://www.beeradvocate.com//beer/profile/11082/27557/
Moylan's Special Bitter (MSB),https://www.beeradvocate.com//beer/profile/870/2750/
Hope Street Bitter,https://www.beeradvocate.com//beer/profile/231/51714/
Caddy Wompus,https://www.beeradvocate.com//beer/profile/22928/70724/
Pitch Penny Ale,https://www.beeradvocate.com//beer/profile/29546/87675/
Junction,https://www.beeradvocate.com//beer/profile/24244/88975/
City Of Blokes,https://www.beeradvocate.com//beer/profile/31134/91328/
Best Bitter,https://www.beeradvocate.com//beer/profile/1289/3813/
Guinness Bitter Draft,https://www.beeradvocate.com//beer/profile/209/745/
Burton Best Bitter,https://www.beeradvocate.com//beer/profile/427/21271/
Good Times,https://www.beeradvocate.com//beer/profile/12142/44627/
Tetley's Original Bitter,https://www.beeradvocate.com//beer/profile/8535/38252/
Arthur's Best Bitter,https://www.beeradvocate.com//beer/profile/2943/22003/
Bitter,https://www.beeradvocate.com//beer/profile/45/4093/
HoppyNESS,https://www.beeradvocate.com//beer/profile/32445/127836/
The Session Gap,https://www.beeradvocate.com//beer/profile/35210/125589/
Manchester Bitter,https://www.beeradvocate.com//beer/profile/10460/44954/
Sorachi Ace Bitter,https://www.beeradvocate.com//beer/profile/27802/79785/
Razorback,https://www.beeradvocate.com//beer/profile/2760/164827/
Pullman,https://www.beeradvocate.com//beer/profile/8560/28467/
TSB,https://www.beeradvocate.com//beer/profile/2243/5687/
Waterloo Bottle Conditioned Ale,https://www.beeradvocate.com//beer/profile/18/25415/
Green Man Buxton Bitter,https://www.beeradvocate.com//beer/profile/11599/100183/
Boxing Day Bitter,https://www.beeradvocate.com//beer/profile/103/40551/
Hobgoblin 4.5%,https://www.beeradvocate.com//beer/profile/160/109963/
Brains Bitter,https://www.beeradvocate.com//beer/profile/801/2452/
Tawny Owl,https://www.beeradvocate.com//beer/profile/6872/18650/
Best Bitter,https://www.beeradvocate.com//beer/profile/31031/97307/
