id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
389300,Helles in the Tropics,Sierra Nevada Brewing Co.,German Helles,4.8%,83,3.71,60,139,"Brewing a great Helles is no easy task. But when it’s right, oh, is it right. That’s what you’ve got here: what might be a perfect Helles. Crisp and light, a symphony of new school juicy hop flavors and a soft and easy mouthfeel—an all-around absolutely crushable beer. BITTERING HOPS: Experimental FINISHING HOPS: Experimental, El Dorado, Loral MALTS: Munich, Pilsner 25 IBU"
4786,Weltenburger Kloster Barock-Hell,Klosterbrauerei Weltenburg,German Helles,5.6%,87,3.92,76,137,
9444,1516 Bavarian Lager,Okanagan Spring Brewery,German Helles,5%,77,3.34,46,131,"The decree states that only four ingredients can be used when making beer: barley, hops, yeast and water. The result is a lager with a crisp finish and a rich golden colour."
12272,Augustiner Bräu Munchen Light Export Beer,Augustiner-Bräu Wagner KG,German Helles,5.7%,83,3.66,47,130,
72570,Helles Belles,Ninkasi Brewing Company,German Helles,5.3%,82,3.63,42,128,
3183,Neuschwansteiner,Der HirschBrau/Privatbrauerei Höss,German Helles,4.7%,82,3.61,97,124,
94985,Heavenly Helles,Church Street Brewing Company,German Helles,5.4%,83,3.66,24,123,
263942,Samuel Adams Golden Hour,Boston Beer Company (Samuel Adams),German Helles,5%,82,3.63,45,122,
8824,Hummin' Bird,Red Oak Brewery,German Helles,4.5%,84,3.77,39,121,From the brewery: Hummin' Bird is a Light Lager or Hell (Helles) similar to those found throughout Bavaria. We use carefully selected Pilsner Malt...then it is delicately hopped with imported Tettnang Noble Hops. Then we add a proprietary lager yeast strain which is not filtered out providing ones daily supply of vitamin B. Hummin' Bird is slow-cold aged for over one month resulting in a lush mouth feel.
10153,Ottakringer Helles,Ottakringer Brauerei AG,German Helles,5.2%,74,3.17,42,115,
48541,Saranac Helles,Matt Brewing Company / Saranac Brewery,German Helles,4.8%,81,3.54,78,112,
3037,Velas Helles,Smoky Mountain Brewery & Restaurant,German Helles,5.2%,77,3.32,43,111,Continental style lager enjoyed throughout Europe. Less hoppy than Pilsner and very drinkable. Light color. Balanced with Bavarian hops.  22 IBU
48625,Bat Outta Helles,Freetail Brewing Company,German Helles,5%,85,3.81,20,111,
83417,Fiery Hell,Surly Brewing Company,German Helles,5.1%,85,3.83,14,108,Cask conditioned lager infused with chilies.
6575,Tegernseer Hell,Herzoglich Bayerisches Brauhaus Tegernsee,German Helles,4.8%,86,3.88,33,96,
220362,Helles Other People,Tired Hands Brewing Company,German Helles,5.3%,85,3.83,28,96,"Helles Lager brewed exclusively with German Pilsner malt and hopped with a blend of our favorite domestic varietals. Lagered for many dark moons. Brewed in ""collaboration"" with our Executive Chef, Billy Braun."
270867,Benediktiner Hell,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,German Helles,5%,82,3.65,36,95,
75252,Camden Hells Lager,Camden Town Brewery,German Helles,4.8%,79,3.45,25,94,"What the hells? Thanks for asking. Hells is the lovechild of our two favourite German beer styles - helles and pilsner. Clean, crisp and dry, it's the beer we always wanted to drink and the reason we started our brewery"
53936,Starlight Lager,Fat Head's Brewery & Saloon,German Helles,4.9%,83,3.68,33,93,"Our Head Brewmaster created this beer in honor of the history of the Brewers' Star. Crackery aromas of fresh milled grain and grassy, floral hops, with crackery malt flavors, fresh cut hay and bitter noble hops. Clean, crisp and refreshing."
30149,Moosbacher Lager,Private Landbrauerei Scheuerer,German Helles,5%,81,3.53,64,92,
28058,Gull,Ölgerðin Egill Skallagrímsson,German Helles,5%,69,2.79,26,88,
6701,Hell,Aktienbrauerei Kaufbeuren AG,German Helles,5%,86,3.85,45,87,
387938,Samuel Adams Bavarian Lager,Boston Beer Company (Samuel Adams),German Helles,5.5%,82,3.6,31,87,
114190,Gypsy Lager,Fordham Brewing Company,German Helles,5%,79,3.46,13,85,
6769,Weltenburger Kloster Urtyp Hell,Klosterbrauerei Weltenburg,German Helles,4.9%,81,3.59,50,85,
17806,Big Woody,The Brew Kettle Taproom & Smokehouse / Production Works,German Helles,5%,81,3.54,24,84,Formerly Ringneck Big Woody Lager
56561,Helles Lager,Rivertown Brewery & Barrel House,German Helles,5.3%,80,3.48,29,80,
59377,Road To Helles,The Lost Abbey,German Helles,5.2%,83,3.72,11,80,
38780,Corolla Gold Helles Lager,Weeping Radish Eco Farm & Brewery,German Helles,5%,74,3.12,25,78,
8995,Ayinger Lager Hell,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,German Helles,4.9%,85,3.81,26,77,
29214,Quöllfrisch Hell,Brauerei Locher AG,German Helles,4.8%,81,3.56,34,75,
45762,Wheels Up Helles Lager,Hangar 24 Brewing,German Helles,4.3%,79,3.43,19,73,
74045,Gold Coin Helles,Backpocket Brewing,German Helles,5.2%,82,3.64,13,72,"Light, simple, and drinkable at those special gatherings you sometimes get lucky enough to happen upon - a beautiful golden goodness that's worth gathering about."
208273,Benediktiner Original,Licher Privatbrauerei,German Helles,5%,84,3.74,30,68,
95613,Twisted Helles,Frankenmuth Brewery,German Helles,5.5%,82,3.62,13,67,
237507,Fest Helles,Uinta Brewing Company,German Helles,5.5%,83,3.71,28,67,
24245,Ettaler Kloster Edel Hell,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,German Helles,5%,85,3.81,48,66,
85589,Bayreuther Brauhaus Hell,Bayreuther Bierbrauerei,German Helles,4.8%,84,3.75,17,62,
11099,Fürstenberg Premium Lager,Fürstlich Fürstenbergische Brauerei KG,German Helles,5.3%,76,3.19,26,61,
115088,Hells Yes!,Odd Side Ales,German Helles,4.5%,82,3.6,9,61,
123277,Hell Yes!,Moat Mountain Smoke House & Brewing Co.,German Helles,4.7%,83,3.69,12,60,
21957,Altenmünster Brauer Bier Urig Wurzig,Allgäuer Brauhaus AG,German Helles,4.9%,81,3.55,25,60,
56437,Hell's Half Mile,Tri-City Brewing Company,German Helles,6%,79,3.41,19,58,
7866,Lancaster Lager,Lancaster Brewing Company,German Helles,4.9%,78,3.37,20,58,"From a town long regarded for its lagers, Lancaster Lager shines as a traditional European-style lager that's smooth, balanced, and very sessionable."
199756,Urtyp Hell Edel Bayer,Privatbrauerei H. Egerer,German Helles,4.6%,79,3.41,18,56,
23732,Das Helle,Dinkelacker-Schwabenbraeu AG,German Helles,5%,78,3.34,20,56,
99425,Thirst Mutilator,Short's Brewing Company,German Helles,6.7%,84,3.77,9,54,"Thirst Mutilator is a light straw-blonde Munich Helles Style Lager with sharp doughy yeast esters that gather atop a perfectly retained head. Pronounced grain flavors of lightly kilned barley produce bready and flour-like qualities that blend pleasantly with mild hop bitterness. Aided by a wonderful effervescence, these delicate flavors fade into a crisp, clean, and refreshing finish.  25 IBU"
56392,Grandl,Ankerbräu Nördlingen,German Helles,4.8%,79,3.44,20,52,
215655,Helles,Real Ale Brewing Company,German Helles,4.8%,86,3.88,14,52,
279158,Hot Tub Scholarship Lager,Rogue Ales,German Helles,5.4%,83,3.7,18,52,
234908,Texas Helles,Community Beer Company,German Helles,5%,82,3.64,7,52,"""Helles"" is German for pale or light in color, but this beer is made for Texas! Texas Helles is a crisp, golden lager fashioned after the highly drinkable beers found in the boisterous beer halls of Bavaria. All-German malts create a slightly sweet front balanced by tangy Hallertau hops in the finish. Our six-week lagering process ensures the smoothest, cleanest lager around; y’all take a sip ... and try tellin’ us it ain’t!"
187591,When In Doubt,Tröegs Brewing Company,German Helles,4.3%,85,3.87,14,51,"Arguably more than any other beer style, the Helles Lager represents the deep-rooted tradition of German brewing. The word “Helles” (German for “light”) offers the perfect descriptor for this pale, straw-colored, thirst-quencher of a beer. With origins in Münich, the Helles Lager style displays certain key attributes of a Czech Pilsner, such as its biscuity malt profile. Tradition hops lend subtle bitterness with hints of wildflowers, earthy spices, and soft herbs. Subtle yet flavorful enough to make for an enjoyable session, When In Doubt Lager will alleviate any uncertainty you’ve got when reaching for your next beer."
10140,Old Seattle Lager,Maritime Pacific Brewing Company,German Helles,4.3%,80,3.49,20,50,
